server,crafting_profession,material_family_name,material_family_gump_button_id,material_name,material_name_gump_button_id
UOAlive,Blacksmithing,Iron,7,Iron,6
UOAlive,Blacksmithing,Iron,7,Agapite,126
UOAlive,Blacksmithing,Iron,7,Bronze,86
UOAlive,Blacksmithing,Iron,7,Copper,66
UOAlive,Blacksmithing,Iron,7,Dull Copper,26
UOAlive,Blacksmithing,Iron,7,Gold,106
UOAlive,Blacksmithing,Iron,7,Shadow Iron,46
UOAlive,Blacksmithing,Iron,7,Valorite,166
UOAlive,Blacksmithing,Iron,7,Verite,146
UOAlive,Blacksmithing,Scales,147,Black Scales,46
UOAlive,Blacksmithing,Scales,147,Blue Scales,106
UOAlive,Blacksmithing,Scales,147,Green Scales,66
UOAlive,Blacksmithing,Scales,147,Red Scales,6
UOAlive,Blacksmithing,Scales,147,White Scales,86
UOAlive,Blacksmithing,Scales,147,Yellow Scales,26
UOAlive,Bowcraft,Wood,7,Ash,46
UOAlive,Bowcraft,Wood,7,Bloodwood,106
UOAlive,Bowcraft,Wood,7,Frostwood,126
UOAlive,Bowcraft,Wood,7,Heartwood,86
UOAlive,Bowcraft,Wood,7,Oak,26
UOAlive,Bowcraft,Wood,7,Wood,6
UOAlive,Bowcraft,Wood,7,Yew,66
UOAlive,Carpentry,Wood,7,Ash,46
UOAlive,Carpentry,Wood,7,Bloodwood,106
UOAlive,Carpentry,Wood,7,Frostwood,126
UOAlive,Carpentry,Wood,7,Heartwood,86
UOAlive,Carpentry,Wood,7,Oak,26
UOAlive,Carpentry,Wood,7,Wood,6
UOAlive,Carpentry,Wood,7,Yew,66
UOAlive,Tailoring,Hides,7,Barbed Leather,66
UOAlive,Tailoring,Hides,7,Horned Leather,46
UOAlive,Tailoring,Hides,7,Leather,6
UOAlive,Tailoring,Hides,7,Spined Leather,26
UOAlive,Tailoring,Tiger Pelts,147,Black Tiger Pelt,46
UOAlive,Tailoring,Tiger Pelts,147,Tiger Pelt,6
UOAlive,Tailoring,Tiger Pelts,147,White Tiger Pelt,26
UOAlive,Tinkering,Iron,7,Iron,6
UOAlive,Tinkering,Iron,7,Agapite,126
UOAlive,Tinkering,Iron,7,Bronze,86
UOAlive,Tinkering,Iron,7,Copper,66
UOAlive,Tinkering,Iron,7,Dull Copper,26
UOAlive,Tinkering,Iron,7,Gold,106
UOAlive,Tinkering,Iron,7,Shadow Iron,46
UOAlive,Tinkering,Iron,7,Valorite,166
UOAlive,Tinkering,Iron,7,Verite,146
