Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Alchemy,Healing and Curative,1,Barrab Hemolymph Concentrate,182,Empty Bottles,1,Ginseng,20,Plant Clippings,5,Myrmidex Eggsac,5,,
UOAlive,Alchemy,Healing and Curative,1,Cure,122,Garlic,3,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Elixir of Rebirth,162,Medusa Blood,1,Spiders' Silk,1,Empty Bottle,1,,,,
UOAlive,Alchemy,Healing and Curative,1,Greater Cure,142,Garlic,6,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Greater Heal,82,Ginseng,7,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Greater Refreshment,22,Black Pearl,5,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Heal,62,Ginseng,3,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Lesser Cure,102,Garlic,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Lesser Heal,42,Ginseng,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Healing and Curative,1,Refresh,2,Black Pearl,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Agility,2,Blood Moss,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Barako Draft of Might,162,Empty Bottles,1,Spiders' Silk,20,Bottle of Liquor,10,Perfect Bananas,5,,
UOAlive,Alchemy,Enhancement,21,Greater Agility,22,Blood Moss,3,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Greater Strength,82,Mandrake Root,5,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Invisibility,102,Spiders' Silk,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Jukari Burn Poultice,122,Empty Bottles,1,Black Pearl,20,Vanilla,10,Lava Berry,5,,
UOAlive,Alchemy,Enhancement,21,Kurak Ambusher's Essence,142,Empty Bottles,1,Blood Moss,20,Blue Diamond,1,Lava Berry,10,,
UOAlive,Alchemy,Enhancement,21,Night Sight,42,Spiders' Silk,1,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Sakkhra Prophylaxis Potion,202,Empty Bottles,1,Nightshade,20,Bottle of Wine,10,Blue Corn,5,,
UOAlive,Alchemy,Enhancement,21,Strength,62,Mandrake Root,2,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Enhancement,21,Urali Trance Tonic,182,Empty Bottles,1,Mandrake Root,20,Sea Serpent or Dragon Scales,10,River Moss,5,,
UOAlive,Alchemy,Toxic,41,Darkglow,102,Empty Bottles,1,Luminescent Fungi,5,,,,,,
UOAlive,Alchemy,Toxic,41,Deadly Poison,62,Nightshade,8,Empty Bottles,1,,,,,,
UOAlive,Alchemy,Toxic,41,Greater Poison,42,Nightshade,4,Empty Bottles,1,,,,,,
