Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Blacksmithing,Metal Armor,1,Gargish Amulet,542,Ingots,3,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,Platemail Tunic,222,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,Universal Barding Deed,262,Ingots,750,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,britches of warding,562,Ingots,18,Leggings of Bane,1,Turquoise,4,Blood of the Dark Father,5,,
UOAlive,Blacksmithing,Metal Armor,1,chainmail coif,82,Ingots,10,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,chainmail leggings,102,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,chainmail tunic,122,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail arms,382,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail arms (A),462,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail chest,402,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail chest (A),482,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail kilt,442,Ingots,12,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail kilt (A),522,Ingots,12,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail leggings,422,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,gargish platemail leggings (A),502,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail (female),242,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail arms,142,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail do,302,Ingots,28,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail gloves,162,Ingots,12,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail gorget,182,Ingots,10,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail haidate,362,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail hiro sode,322,Ingots,16,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail legs,202,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail mempo,282,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,platemail suneate,342,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,ringmail gloves,2,Ingots,10,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,ringmail leggings,22,Ingots,16,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,ringmail sleeves,42,Ingots,14,,,,,,,,
UOAlive,Blacksmithing,Metal Armor,1,ringmail tunic,62,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,bascinet,2,Ingots,15,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,chainmail hatsuburi,102,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,circlet,262,Ingots,6,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,close helmet,22,Ingots,15,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,decorative platemail kabuto,202,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,gemmed circlet,302,Ingots,6,Tourmalines,1,Amethysts,1,Blue Diamond,1,,
UOAlive,Blacksmithing,Helmets,21,heavy platemail jingasa,142,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,helmet,42,Ingots,15,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,light platemail jingasa,162,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,norse helm,62,Ingots,15,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,plate helm,82,Ingots,15,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,platemail battle kabuto,222,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,platemail hatsuburi,122,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,royal circlet,282,Ingots,6,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,small platemail jingasa,182,Ingots,20,,,,,,,,
UOAlive,Blacksmithing,Helmets,21,standard platemail kabuto,242,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Shields,41,bronze shield,22,Ingots,12,,,,,,,,
UOAlive,Blacksmithing,Shields,41,buckler,2,Ingots,10,,,,,,,,
UOAlive,Blacksmithing,Shields,41,chaos shield,122,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Shields,41,gargish Chaos shield,242,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Shields,41,gargish Order shield,262,Ingots,25,,,,,,,,
UOAlive,Blacksmithing,Shields,41,gargish kite shield,182,Ingots,16,,,,,,,,
UOAlive,Blacksmithing,Shields,41,heater shield,42,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Shields,41,large plate shield,202,Ingots,18,,,,,,,,
UOAlive,Blacksmithing,Shields,41,medium plate shield,222,Ingots,14,,,,,,,,
