Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Bowcraft and Fletching,Materials,1,Elven Fletching,2,Feathers,20,Faery Dust,1,,,,,,
UOAlive,Bowcraft and Fletching,Materials,1,Kindling,22,Boards or Logs,1,,,,,,,,
UOAlive,Bowcraft and Fletching,Materials,1,Shaft,42,Boards or Logs,1,,,,,,,,
UOAlive,Bowcraft and Fletching,Ammunition,21,Arrow,2,Arrow Shafts,1,Feathers,1,,,,,,
UOAlive,Bowcraft and Fletching,Ammunition,21,Crossbow Bolt,22,Arrow Shafts,1,Feathers,1,,,,,,
UOAlive,Bowcraft and Fletching,Ammunition,21,Fukiya Dart,42,Boards or Logs,1,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Bow,2,Boards or Logs,7,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Crossbow,22,Boards or Logs,7,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Heavy Crossbow,42,Boards or Logs,10,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Composit Bow,62,Boards or Logs,7,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Repeating Crossbow,82,Boards or Logs,10,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Yumi,102,Boards or Logs,10,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Elven Composite Longbow,122,Boards or Logs,20,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Magical Shortbow,142,Boards or Logs,15,,,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Blight Gripped Longbow,162,Boards or Logs,20,Lord of Paroxysmus,1,Blight,10,Corruption,10,,
UOAlive,Bowcraft and Fletching,Weapons,41,Faerie Fire,182,Boards or Logs,20,Lord of Paroxysmus,1,Putrefaction,10,Taint,10,,
UOAlive,Bowcraft and Fletching,Weapons,41,Silvani's Feywood Bow,202,Boards or Logs,20,Lord of Paroxysmus,1,Scourge,10,Muculent,10,,
UOAlive,Bowcraft and Fletching,Weapons,41,Mischief Maker,222,Boards or Logs,15,Dread Horn Mane,1,Corruption,10,Putrefaction,10,,
UOAlive,Bowcraft and Fletching,Weapons,41,The Night Reaper,242,Boards or Logs,10,Dread Horn Mane,1,Blight,10,Scourge,10,,
UOAlive,Bowcraft and Fletching,Weapons,41,Barbed Longbow,262,Boards or Logs,20,Fire Ruby,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Slayer Longbow,282,Boards or Logs,20,Brilliant Amber,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Frozen Longbow,302,Boards or Logs,20,Turquoise,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Longbow of Might,322,Boards or Logs,10,Blue Diamond,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Ranger's Shortbow,342,Boards or Logs,15,Perfect Emerald,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Lightweight Shortbow,362,Boards or Logs,15,White Pearl,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Mystical Shortbow,382,Boards or Logs,15,Ecru Citrine,1,,,,,,
UOAlive,Bowcraft and Fletching,Weapons,41,Assassin's Shortbow,402,Boards or Logs,15,Dark Sapphire,1,,,,,,
