Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Carpentry,Other,1,Barrel Staves,2,Boards or Logs,5,,,,,,,,
UOAlive,Carpentry,Other,1,Barrel Lid,22,Boards or Logs,4,,,,,,,,
UOAlive,Carpentry,Other,1,Short Music Stand (Left),42,Boards or Logs,15,,,,,,,,
UOAlive,Carpentry,Other,1,Short Music Stand (Right),62,Boards or Logs,15,,,,,,,,
UOAlive,Carpentry,Other,1,Tall Music Stand (Left),82,Boards or Logs,20,,,,,,,,
UOAlive,Carpentry,Other,1,Tall Music Stand (Right),102,Boards or Logs,20,,,,,,,,
UOAlive,Carpentry,Other,1,Easel (South),122,Boards or Logs,20,,,,,,,,
UOAlive,Carpentry,Other,1,Easel (East),142,Boards or Logs,20,,,,,,,,
UOAlive,Carpentry,Other,1,Easel (North),162,Boards or Logs,20,,,,,,,,
UOAlive,Carpentry,Other,1,Red Hanging Lantern,182,Boards or Logs,5,Blank Scrolls,10,,,,,,
UOAlive,Carpentry,Other,1,White Hanging Lantern,202,Boards or Logs,5,Blank Scrolls,10,,,,,,
UOAlive,Carpentry,Other,1,Shoji Screen,222,Boards or Logs,75,Cloth,60,,,,,,
UOAlive,Carpentry,Other,1,Bamboo Screen,242,Boards or Logs,75,Cloth,60,,,,,,
UOAlive,Carpentry,Other,1,Fishing Pole,262,Boards or Logs,5,Cloth,5,,,,,,
UOAlive,Carpentry,Other,1,Wooden Container Engraving Tool,282,Boards or Logs,4,Ingots,2,,,,,,
UOAlive,Carpentry,Other,1,Runed Switch,302,Boards or Logs,2,Enchanted Switch,1,Rune Prism,1,Jeweled Filigree,1,,
UOAlive,Carpentry,Other,1,Arcanist Statue (South),322,Boards or Logs,250,,,,,,,,
UOAlive,Carpentry,Other,1,Arcanist Statue (East),342,Boards or Logs,250,,,,,,,,
UOAlive,Carpentry,Other,1,Warrior Statue (South),362,Boards or Logs,250,,,,,,,,
UOAlive,Carpentry,Other,1,Warrior Statue (East),382,Boards or Logs,250,,,,,,,,
UOAlive,Carpentry,Other,1,Squirrel Statue (South),402,Boards or Logs,250,,,,,,,,
