Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Cooking,Ingredients,1,Sack of Flour,2,Wheat,2,,,,,,,,
UOAlive,Cooking,Ingredients,1,Dough,22,Flour,1,Water,1,,,,,,
UOAlive,Cooking,Ingredients,1,Sweet Dough,42,Dough,1,Honey,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cake Mix,62,Flour,1,Sweet Dough,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cookie Mix,82,Honey ,1,Sweet Dough,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cocoa Butter,102,Cocoa Pulp,1,,,,,,,,
UOAlive,Cooking,Ingredients,1,Cocoa Liquor,122,Cocoa Pulp,1,Pewter Bowl,1,,,,,,
UOAlive,Cooking,Ingredients,1,Wheat Wort,142,Empty Bottles,1,Water,1,Flour,1,,,,
UOAlive,Cooking,Ingredients,1,Fish Oil Flask,162,Coffee Grounds,1,Raw Fish Steaks,8,,,,,,
UOAlive,Cooking,Ingredients,1,Fresh Seasoning,182,Salt,4,,,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Quiche,2,Dough,1,Eggs,1,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Meat Pie,22,Dough,1,Raw Meat,1,,,,,,
UOAlive,Cooking,Preparations,21,Uncooked Sausage Pizza,42,Dough,1,Sausage,1,,,,,,
UOAlive,Cooking,Preparations,21,Uncooked Cheese Pizza,62,Dough,1,Cheese,1,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Fruit Pie,82,Dough,1,Pears,1,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Peach Cobbler,102,Dough,1,Peaches,1,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Apple Pie,122,Dough,1,Apples,1,,,,,,
UOAlive,Cooking,Preparations,21,Unbaked Pumpkin Pie,142,Dough,1,Pumpkin,1,,,,,,
UOAlive,Cooking,Preparations,21,Green Tea,162,Green Tea,1,Water,1,,,,,,
UOAlive,Cooking,Preparations,21,Wasabi Clumps,182,Water,1,Bowl of Peas,3,,,,,,
UOAlive,Cooking,Preparations,21,Sushi Rolls,202,Water,1,Raw Fish Steaks,10,,,,,,
UOAlive,Cooking,Preparations,21,Sushi Platter,222,Water,1,Raw Fish Steaks,10,,,,,,
UOAlive,Cooking,Preparations,21,Savage Kin Paint,242,Flour,1,Tribal Berries,1,,,,,,
UOAlive,Cooking,Preparations,21,Egg Bomb,262,Eggs,1,Flour,3,,,,,,
UOAlive,Cooking,Preparations,21,Parrot Wafer,282,Dough,1,Honey,1,Raw Fish Steaks,10,,,,
UOAlive,Cooking,Preparations,21,Plant Pigment,302,Plant Clippings,1,Empty Bottles,1,,,,,,
UOAlive,Cooking,Preparations,21,Natural Dye,322,Plant Pigment,1,Color Fixative,1,,,,,,
UOAlive,Cooking,Preparations,21,Color Fixative,342,Bottle of Wine,1,Silver Serpent Venom,1,,,,,,
UOAlive,Cooking,Preparations,21,Wood Pulp,362,Bark Fragment,1,Water,1,,,,,,
UOAlive,Cooking,Preparations,21,Charcoal,382,Boards or Logs,1,,,,,,,,
UOAlive,Cooking,Preparations,21,Charybdis Bait,402,Samuel's Secret Sauce,1,Raw Fish Steaks,50,Salted Serpent Steak,3,,,,
UOAlive,Cooking,Baking,41,Bread Loaf,2,Dough,1,,,,,,,,
UOAlive,Cooking,Baking,41,Pan of Cookies,22,Cookie Mix,1,,,,,,,,
UOAlive,Cooking,Baking,41,Cake,42,Cake Mix,1,,,,,,,,
UOAlive,Cooking,Baking,41,Muffins,62,Sweet Dough,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Quiche,82,Uncooked Quiches,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Meat Pie,102,Uncooked Meat Pies,1,,,,,,,,
UOAlive,Cooking,Baking,41,Sausage Pizza,122,Uncooked Sausage Pizza,1,,,,,,,,
UOAlive,Cooking,Baking,41,Cheese Pizza,142,Uncooked Cheese Pizza,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Fruit Pie,162,Uncooked Fruit Pie,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Peach Cobbler,182,Uncooked Peach Cobbler,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Apple Pie,202,Uncooked Apple Pie,1,,,,,,,,
UOAlive,Cooking,Baking,41,Baked Pumpkin Pie,222,Uncooked Pumpkin Pie,1,,,,,,,,
UOAlive,Cooking,Baking,41,Miso Soup,242,Raw Fish Steaks,1,Water,1,,,,,,
UOAlive,Cooking,Baking,41,White Miso Soup,262,Raw Fish Steaks,1,Water,1,,,,,,
UOAlive,Cooking,Baking,41,Red Miso Soup,282,Raw Fish Steaks,1,Water,1,,,,,,
UOAlive,Cooking,Baking,41,Awase Miso Soup,302,Raw Fish Steaks,1,Water,1,,,,,,
UOAlive,Cooking,Baking,41,Gingerbread Cookie,322,Cookie Mix,1,Fresh Ginger,1,,,,,,
UOAlive,Cooking,Baking,41,Three Tiered Cake,342,Cake Mix,3,,,,,,,,
UOAlive,Cooking,Baking,41,Donut,362,Sack of Sugar,1,Dough,1,Sweet Dough,1,,,,
UOAlive,Cooking,Baking,41,Cake Drake,382,Cake Mix,5,Sack of Sugar,1,,,,,,
UOAlive,Cooking,Barbecue,61,Cooked Bird,2,Raw Birds,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Chicken Leg,22,Raw Chicken Legs,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Fish Steaks,42,Raw Fish Steaks,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Fried Eggs,62,Eggs,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Leg of Lamb,82,Raw Legs of Lamb,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Cut of Ribs,102,Raw Ribs,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Bowl of Rotworm Stew,122,Raw Rotworm Meat,1,,,,,,,,
UOAlive,Cooking,Barbecue,61,Blackrock Stew,142,Bowl of Rotworm Stew,1,A Piece of Blackrock,1,,,,,,
UOAlive,Cooking,Barbecue,61,Khaldun Tasty Treat,162,Raw Fish Steaks,40,,,,,,,,
UOAlive,Cooking,Barbecue,61,Hamburger,182,Bread Loaf,1,Raw Ribs,1,Head of Lettuce,1,,,,
UOAlive,Cooking,Barbecue,61,Hot Dog,202,Bread Loaf,1,Sausage,1,,,,,,
UOAlive,Cooking,Barbecue,61,Suasage,222,Ham,1,Dried Herbs,1,,,,,,
UOAlive,Cooking,Barbecue,61,Grilled Serpent Steak,242,Raw Serpent Steak,1,Fresh Seasoning,1,,,,,,
UOAlive,Cooking,Barbecue,61,BBQ Dino Ribs,262,Raw Dino Ribs,1,Fresh Seasoning,1,Sack of Sugar,1,Samuel's Secret Sauce,1,,
UOAlive,Cooking,Barbecue,61,Waku Chicken,282,Raw Birds,1,Dried Herbs,1,Samuel's Secret Sauce,1,,,,
UOAlive,Cooking,Enchanted,81,Food Decoration Tool,2,Dough ,1,Honey ,1,,,,,,
UOAlive,Cooking,Enchanted,81,Beverage Engraver,22,Lockpick,1,Hammer,1,,,,,,
UOAlive,Cooking,Enchanted,81,Enchanted Apple,42,Apples,1,Greater Heal Potion,1,,,,,,
UOAlive,Cooking,Enchanted,81,Grapes of Wrath,62,Grapes,1,Greater Strength Potion,1,,,,,,
UOAlive,Cooking,Enchanted,81,Fruit Bowl ,82,Wooden Bowl,1,Pears,3,Apples,3,Bananas,3,,
UOAlive,Cooking,Enchanted,81,Bag of Skilttles,102,Sack of Sugar,1,Pears,3,Apples,3,Bananas,3,,
UOAlive,Cooking,Chocolatiering,101,Sweet Cocoa Butter,2,Sack of Sugar,1,Cocoa Butter,1,,,,,,
UOAlive,Cooking,Chocolatiering,101,Dark Chocolate,22,Sack of Sugar,1,Cocoa Butter,1,Cocoa Liquor,1,,,,
UOAlive,Cooking,Chocolatiering,101,Milk Chocolate,42,Sack of Sugar,1,Cocoa Butter,1,Cocoa Liquor,1,Milk,1,,
UOAlive,Cooking,Chocolatiering,101,White Chocolate,62,Sack of Sugar,1,Cocoa Butter,1,Vanilla,1,Milk,1,,
