Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Bowcrafting,Materials,1,Elven Fletching,2,Feathers,20,Faery Dust,1,,,,,,
UOAlive,Bowcrafting,Materials,1,Kindling,22,Board,1,,,,,,,,
UOAlive,Bowcrafting,Materials,1,Shaft,42,Board,1,,,,,,,,
UOAlive,Bowcrafting,Ammunition,21,Arrow,2,Arrow Shafts,1,Feathers,1,,,,,,
UOAlive,Bowcrafting,Ammunition,21,Crossbow Bolt,22,Arrow Shafts,1,Feathers,1,,,,,,
UOAlive,Bowcrafting,Ammunition,21,Fukiya Dart,42,Board,1,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Bow,2,Board,7,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Crossbow,22,Board,7,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Heavy Crossbow,42,Board,10,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Composite Bow,62,Board,7,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Repeating Crossbow,82,Board,10,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Yumi,102,Board,10,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Elven Composite Longbow,122,Board,20,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Magical Shortbow,142,Board,15,,,,,,,,
UOAlive,Bowcrafting,Weapons,41,Blight Gripped Longbow,162,Board,20,Lord of Paroxysmus,1,Blight,10,Corruption,10,,
UOAlive,Bowcrafting,Weapons,41,Faerie Fire,182,Board,20,Lord of Paroxysmus,1,Putrefaction,10,Taint,10,,
UOAlive,Bowcrafting,Weapons,41,Silvani's Feywood Bow,202,Board,20,Lord of Paroxysmus,1,Scourge,10,Muculent,10,,
UOAlive,Bowcrafting,Weapons,41,Mischief Maker,222,Board,15,Dread Horn Mane,1,Corruption,10,Putrefaction,10,,
UOAlive,Bowcrafting,Weapons,41,The Night Reaper,242,Board,10,Dread Horn Mane,1,Blight,10,Scourge,10,,
UOAlive,Bowcrafting,Weapons,41,Barbed Longbow,262,Board,20,Fire Ruby,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Slayer Longbow,282,Board,20,Brilliant Amber,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Frozen Longbow,302,Board,20,Turquoise,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Longbow of Might,322,Board,10,Blue Diamond,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Ranger's Shortbow,342,Board,15,Perfect Emerald,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Lightweight Shortbow,362,Board,15,White Pearl,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Mystical Shortbow,382,Board,15,Ecru Citrine,1,,,,,,
UOAlive,Bowcrafting,Weapons,41,Assassin's Shortbow,402,Board,15,Dark Sapphire,1,,,,,,
UOAlive,Cooking,Ingredients,1,Sack of Flour,2,Wheat,2,,,,,,,,
UOAlive,Cooking,Ingredients,1,Dough,22,Flour,1,Water,1,,,,,,
UOAlive,Cooking,Ingredients,1,Sweet Dough,42,Dough,1,Honey,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cake Mix,62,Flour,1,Sweet Dough,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cookie Mix,82,Honey ,1,Sweet Dough,1,,,,,,
UOAlive,Cooking,Ingredients,1,Cocoa Butter,102,Cocoa Pulp,1,,,,,,,,
UOAlive,Cooking,Ingredients,1,Cocoa Liquor,122,Cocoa Pulp,1,Pewter Bowl,1,,,,,,
UOAlive,Cooking,Ingredients,1,Wheat Wort,142,Empty Bottle,1,Water,1,Flour,1,,,,
