Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Inscription,First - Second Circle,1,Agility,162,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,,,,
UOAlive,Inscription,First - Second Circle,1,Clumsy,22,Blank Scroll,1,Blood Moss,1,Nightshade,1,,,,
UOAlive,Inscription,First - Second Circle,1,Create Food,42,Blank Scroll,1,Garlic,1,Ginseng,1,Mandrake Root,1,,
UOAlive,Inscription,First - Second Circle,1,Cunning,182,Blank Scroll,1,Nightshade,1,Mandrake Root,1,,,,
UOAlive,Inscription,First - Second Circle,1,Cure,202,Blank Scroll,1,Garlic,1,Ginseng,1,,,,
UOAlive,Inscription,First - Second Circle,1,Feeblemind,62,Blank Scroll,1,Nightshade,1,Ginseng,1,,,,
UOAlive,Inscription,First - Second Circle,1,Harm,222,Blank Scroll,1,Nightshade,1,Spiders' Silk,1,,,,
UOAlive,Inscription,First - Second Circle,1,Heal,82,Blank Scroll,1,Garlic,1,Ginseng,1,Spiders' Silk,1,,
UOAlive,Inscription,First - Second Circle,1,Magic Arrow,102,Blank Scroll,1,Sulfurous Ash,1,,,,,,
UOAlive,Inscription,First - Second Circle,1,Magic Trap,242,Blank Scroll,1,Garlic,1,Spiders' Silk,1,Sulfurous Ash,1,,
UOAlive,Inscription,First - Second Circle,1,Magic Untrap,262,Blank Scroll,1,Blood Moss,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,First - Second Circle,1,Night Sight,122,Blank Scroll,1,Sulfurous Ash,1,Spiders' Silk,1,,,,
UOAlive,Inscription,First - Second Circle,1,Protection,282,Blank Scroll,1,Garlic,1,Ginseng,1,Sulfurous Ash,1,,
UOAlive,Inscription,First - Second Circle,1,Reactive Armor,2,Blank Scroll,1,Garlic,1,Spiders' Silk,1,Sulfurous Ash,1,,
UOAlive,Inscription,First - Second Circle,1,Strength,302,Blank Scroll,1,Nightshade,1,Mandrake Root,1,,,,
UOAlive,Inscription,First - Second Circle,1,Weaken,142,Blank Scroll,1,Garlic,1,Nightshade,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Arch Cure,162,Blank Scroll,1,Garlic,1,Ginseng,1,Mandrake Root,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Arch Protection,182,Blank Scroll,1,Garlic,1,Ginseng,1,Mandrake Root,1,Sulfurous Ash,1
UOAlive,Inscription,Third - Fourth Circle,21,Bless,2,Blank Scroll,1,Garlic,1,Mandrake Root,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Curse,202,Blank Scroll,1,Garlic,1,Nightshade,1,Sulfurous Ash,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Fire Field,222,Blank Scroll,1,Black Pearl,1,Spiders' Silk,1,Sulfurous Ash,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Fireball,22,Blank Scroll,1,Black Pearl,1,,,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Greater Heal,242,Blank Scroll,1,Garlic,1,Spiders' Silk,1,Mandrake Root,1,Ginseng,1
UOAlive,Inscription,Third - Fourth Circle,21,Lightning,262,Blank Scroll,1,Mandrake Root,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Magic Lock,42,Blank Scroll,1,Blood Moss,1,Garlic,1,Sulfurous Ash,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Mana Drain,282,Blank Scroll,1,Black Pearl,1,Spiders' Silk,1,Mandrake Root,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Poison,62,Blank Scroll,1,Nightshade,1,,,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Recall,302,Blank Scroll,1,Black Pearl,1,Blood Moss,1,Mandrake Root,1,,
UOAlive,Inscription,Third - Fourth Circle,21,Telekinesis,82,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Teleport,102,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Unlock,122,Blank Scroll,1,Blood Moss,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,Third - Fourth Circle,21,Wall of Stone,142,Blank Scroll,1,Blood Moss,1,Garlic,1,,,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Blade Spirits,2,Blank Scroll,1,Black Pearl,1,Nightshade,1,Mandrake Root,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Dispel,162,Blank Scroll,1,Garlic,1,Mandrake Root,1,Sulfurous Ash,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Dispel Field,22,Blank Scroll,1,Black Pearl,1,Garlic,1,Spiders' Silk,1,Sulfurous Ash,1
UOAlive,Inscription,Fifth - Sixth Circle,41,Energy Bolt,182,Blank Scroll,1,Black Pearl,1,Nightshade,1,,,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Explosion,202,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,,,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Incognito,42,Blank Scroll,1,Blood Moss,1,Garlic,1,Nightshade,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Invisibility,222,Blank Scroll,1,Blood Moss,1,Nightshade,1,,,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Magic Reflection,62,Blank Scroll,1,Garlic,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Mark,242,Blank Scroll,1,Blood Moss,1,Black Pearl,1,Mandrake Root,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Mass Curse,262,Blank Scroll,1,Garlic,1,Mandrake Root,1,Nightshade,1,Sulfurous Ash,1
UOAlive,Inscription,Fifth - Sixth Circle,41,Mind Blast,82,Blank Scroll,1,Black Pearl,1,Mandrake Root,1,Nightshade,1,Sulfurous Ash,1
UOAlive,Inscription,Fifth - Sixth Circle,41,Paralyze,102,Blank Scroll,1,Garlic,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Paralyze Field,282,Blank Scroll,1,Black Pearl,1,Ginseng,1,Spiders' Silk,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Poison Field,122,Blank Scroll,1,Black Pearl,1,Nightshade,1,Spiders' Silk,1,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Reveal,302,Blank Scroll,1,Blood Moss,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,Fifth - Sixth Circle,41,Summon Creature,142,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Chain Lightning,2,Blank Scroll,1,Black Pearl,1,Blood Moss,1,Mandrake Root,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Earthquake,162,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Ginseng,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Energy Field,22,Blank Scroll,1,Black Pearl,1,Mandrake Root,1,Spiders' Silk,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Energy Vortex,182,Blank Scroll,1,Black Pearl,1,Blood Moss,1,Mandrake Root,1,Nightshade,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Flamestrike,42,Blank Scroll,1,Spiders' Silk,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Gate Travel,62,Blank Scroll,1,Black Pearl,1,Mandrake Root,1,Sulfurous Ash,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Mana Vampire,82,Blank Scroll,1,Black Pearl,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Mass Dispel,102,Blank Scroll,1,Black Pearl,1,Garlic,1,Mandrake Root,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Meteor Swarm,122,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Sulfurous Ash,1,Spiders' Silk,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Polymorph,142,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Resurrection,202,Blank Scroll,1,Blood Moss,1,Garlic,1,Ginseng,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Summon Air Elemental,222,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Summon Daemon,242,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Summon Earth Elemental,262,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Seventh - Eighth Circle,61,Summon Fire Elemental,282,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,Sulfurous Ash,1
UOAlive,Inscription,Seventh - Eighth Circle,61,Summon Water Elemental,302,Blank Scroll,1,Blood Moss,1,Mandrake Root,1,Spiders' Silk,1,,
UOAlive,Inscription,Necromancy,81,Animate Dead,2,Blank Scroll,1,Grave Dust,1,Daemon Blood,1,,,,
UOAlive,Inscription,Necromancy,81,Blood Oath,22,Blank Scroll,1,Daemon Blood,1,,,,,,
UOAlive,Inscription,Necromancy,81,Corpse Skin,42,Blank Scroll,1,Batwing,1,Grave Dust,1,,,,
UOAlive,Inscription,Necromancy,81,Curse Weapon,62,Blank Scroll,1,Pig Iron,1,,,,,,
UOAlive,Inscription,Necromancy,81,Evil Omen,82,Blank Scroll,1,Batwing,1,Nox Crystal,1,,,,
UOAlive,Inscription,Necromancy,81,Exorcism,322,Blank Scroll,1,Nox Crystal,1,Grave Dust,1,,,,
UOAlive,Inscription,Necromancy,81,Horrific Beast,102,Blank Scroll,1,Batwing,1,Daemon Blood,1,,,,
UOAlive,Inscription,Necromancy,81,Lich Form,122,Blank Scroll,1,Grave Dust,1,Daemon Blood,1,Nox Crystal,1,,
UOAlive,Inscription,Necromancy,81,Mind Rot,142,Blank Scroll,1,Batwing,1,Daemon Blood,1,Pig Iron,1,,
UOAlive,Inscription,Necromancy,81,Pain Spike,162,Blank Scroll,1,Grave Dust,1,Pig Iron,1,,,,
UOAlive,Inscription,Necromancy,81,Poison Strike,182,Blank Scroll,1,Nox Crystal,1,,,,,,
UOAlive,Inscription,Necromancy,81,Strangle,202,Blank Scroll,1,Daemon Blood,1,Nox Crystal,1,,,,
UOAlive,Inscription,Necromancy,81,Summon Familiar,222,Blank Scroll,1,Batwing,1,Grave Dust,1,Daemon Blood,1,,
UOAlive,Inscription,Necromancy,81,Vampiric Embrace,242,Blank Scroll,1,Batwing,1,Nox Crystal,1,Pig Iron,1,,
UOAlive,Inscription,Necromancy,81,Vengeful Spirit,262,Blank Scroll,1,Batwing,1,Grave Dust,1,Pig Iron,1,,
UOAlive,Inscription,Necromancy,81,Wither,282,Blank Scroll,1,Grave Dust,1,Nox Crystal,1,Pig Iron,1,,
UOAlive,Inscription,Necromancy,81,Wraith Form,302,Blank Scroll,1,Nox Crystal,1,Pig Iron,1,,,,
UOAlive,Inscription,Other,101,Blank Scroll,222,Wood Pulp,1,,,,,,,,
UOAlive,Inscription,Other,101,Book (100 pages),262,Blank Scroll,40,Beeswax,2,,,,,,
UOAlive,Inscription,Other,101,Book (200 pages),282,Blank Scroll,80,Beeswax,4,,,,,,
UOAlive,Inscription,Other,101,Bulk Order Book,62,Blank Scroll,10,,,,,,,,
UOAlive,Inscription,Other,101,Enchanted Switch,2,Blank Scroll,1,Spiders' Silk,1,Black Pearl,1,Switch,1,,
UOAlive,Inscription,Other,101,Exodus Summoning Rite,182,Daemon Blood,5,Taint,1,Daemon Bone,5,A Daemon Summoning Scroll,1,,
UOAlive,Inscription,Other,101,Mysticism Spellbook,142,Blank Scroll,10,,,,,,,,
UOAlive,Inscription,Other,101,Necromancy Spellbook,162,Blank Scroll,10,,,,,,,,
UOAlive,Inscription,Other,101,Prophetic Manuscript,202,Ancient Parchment,10,Antique Documents Kit,1,Wood Pulp,10,Beeswax,5,,
UOAlive,Inscription,Other,101,Runebook,42,Blank Scroll,8,Recall Scrolls,1,Gate Scrolls,1,Unmarked Runes,1,,
UOAlive,Inscription,Other,101,Runed Prism,22,Blank Scroll,1,Spiders' Silk,1,Black Pearl,1,Hollow Prism,1,,
UOAlive,Inscription,Other,101,Runic Atlas,302,Blank Scroll,24,Recall Scrolls,3,Gate Scrolls,3,,,,
UOAlive,Inscription,Other,101,Scrapper’s Compendium,102,Blank Scroll,100,Dread Horn Mane,1,Taint,10,Corruption,10,,
UOAlive,Inscription,Other,101,Scroll Binder,242,Wood Pulp,1,,,,,,,,
UOAlive,Inscription,Other,101,Spellbook (Magery),82,Blank Scroll,10,,,,,,,,
UOAlive,Inscription,Other,101,Spellbook engraving tool,122,Feathers,1,Black Pearl,7,,,,,,
UOAlive,Inscription,Spells of Mysticism,121,Animated Weapon,122,Bone,1,Black Pearl,1,Mandrake Root,1,Nightshade,1,,
UOAlive,Inscription,Spells of Mysticism,121,Bombard,222,Garlic,1,Dragon's Blood,1,Sulfurous Ash,1,Blood Moss,1,,
UOAlive,Inscription,Spells of Mysticism,121,Cleansing Winds,202,Ginseng,1,Garlic,1,Dragon's Blood,1,Mandrake Root,1,,
UOAlive,Inscription,Spells of Mysticism,121,Eagle Strike,102,Spiders' Silk,1,Blood Moss,1,Mandrake Root,1,Bone,1,,
UOAlive,Inscription,Spells of Mysticism,121,Enchant,62,Spiders' Silk,1,Mandrake Root,1,Sulfurous Ash,1,,,,
UOAlive,Inscription,Spells of Mysticism,121,Hail Storm,262,Dragon's Blood,1,Black Pearl,1,Mandrake Root,1,Blood Moss,1,,
UOAlive,Inscription,Spells of Mysticism,121,Healing Stone,22,Bone,1,Garlic,1,Ginseng,1,Spiders' Silk,11,,
UOAlive,Inscription,Spells of Mysticism,121,Mass Sleep,182,Spiders' Silk,1,Nightshade,1,Ginseng,1,,,,
UOAlive,Inscription,Spells of Mysticism,121,Nether Bolt,2,Sulfurous Ash,1,Black Pearl,1,,,,,,
UOAlive,Inscription,Spells of Mysticism,121,Nether Cyclone,282,Blood Moss,1,Nightshade,1,Sulfurous Ash,1,Mandrake Root,1,,
UOAlive,Inscription,Spells of Mysticism,121,Purge Magic,42,Fertile Dirt,1,Garlic,1,Mandrake Root,1,Sulfurous Ash,1,,
UOAlive,Inscription,Spells of Mysticism,121,Rising Colossus,302,Daemon Bone,1,Fertile Dirt,1,Dragon's Blood,1,Nightshade,1,,
UOAlive,Inscription,Spells of Mysticism,121,Sleep,82,Spiders' Silk,1,Black Pearl,1,Nightshade,1,,,,
UOAlive,Inscription,Spells of Mysticism,121,Spell Plague,242,Daemon Bone,1,Dragon's Blood,1,Nightshade,1,Sulfurous Ash,1,,
UOAlive,Inscription,Spells of Mysticism,121,Spell Trigger,162,Spiders' Silk,1,Mandrake Root,1,Garlic,1,Dragon's Blood,1,,
UOAlive,Inscription,Spells of Mysticism,121,Stone Form,142,Blood Moss,1,Fertile Dirt,1,Garlic,1,,,,
