Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
UOAlive,Tailoring,,,Cloaks,41,,,,,,,,,,
UOAlive,Tailoring,,,Elven Shirts (Brown),41,,,,,,,,,,
UOAlive,Tailoring,,,Fur Capes,41,,,,,,,,,,
UOAlive,Tailoring,,,Kasas,21,,,,,,,,,,
UOAlive,Tailoring,,,Oil Cloths,61,,,,,,,,,,
UOAlive,Tailoring,,,Robes,41,,,,,,,,,,
UOAlive,Tailoring,,,Studded Hiro Sodes,141,,,,,,,,,,
UOAlive,Tailoring,Materials,1,Abyssal Cloth,62,Yards of Cloth,50,Crystalline Blackrock,1,,,,,,
UOAlive,Tailoring,Materials,1,Combine Cloth,22,Yards of Cloth,1,,,,,,,,
UOAlive,Tailoring,Materials,1,Cut-up Cloth,2,Bolts of Cloth,1,,,,,,,,
UOAlive,Tailoring,Materials,1,Powder Charge,42,Yards of Cloth,1,Black Powder,4,,,,,,
UOAlive,Tailoring,Hats,21,Assassin's Cowl,442,Yards of Cloth,5,Leather or Hides,5,Vile Tentacles,5,,,,
UOAlive,Tailoring,Hats,21,Bandana,22,Yards of Cloth,2,,,,,,,,
UOAlive,Tailoring,Hats,21,Bear Mask,322,Yards of Cloth,15,,,,,,,,
UOAlive,Tailoring,Hats,21,Bonnet,162,Yards of Cloth,11,,,,,,,,
UOAlive,Tailoring,Hats,21,Cap,62,Yards of Cloth,11,,,,,,,,
UOAlive,Tailoring,Hats,21,Chef's Toque,402,Yards of Cloth,11,,,,,,,,
UOAlive,Tailoring,Hats,21,Cloth Ninja Hood,262,Yards of Cloth,13,,,,,,,,
UOAlive,Tailoring,Hats,21,Cowl of the Mace & Shield,482,Yards of Cloth,5,Leather or Hides,5,Mace and Shield Reading Glasses,1,Vile Tentacles,10,,
UOAlive,Tailoring,Hats,21,Deer Mask,342,Yards of Cloth,15,,,,,,,,
UOAlive,Tailoring,Hats,21,Feathered Hat,182,Yards of Cloth,12,,,,,,,,
UOAlive,Tailoring,Hats,21,Floppy Hat,42,Yards of Cloth,11,,,,,,,,
UOAlive,Tailoring,Hats,21,Flower Garland,242,Yards of Cloth,5,,,,,,,,
UOAlive,Tailoring,Hats,21,Jester Hat,222,Yards of Cloth,15,,,,,,,,
UOAlive,Tailoring,Hats,21,Kasa,282,Yards of Cloth,12,,,,,,,,
UOAlive,Tailoring,Hats,21,Krampus Minion Hat,422,Yards of Cloth,8,,,,,,,,
