Server,Profession,Category Name,Category Button ID,Item Name,Item Button ID,Resource 1,Resource 1 Quantity,Resource 2,Resource 2 Quantity,Resource 3,Resource 3 Quantity,Resource 4,Resource 4 Quantity,Resource 5,Resource 5 Quantity
OSI,Tinker,Tools,9003,shovel,18,,,,,,,,,,
OSI,Tinker,Tools,9003,tinker's tools,11,,,,,,,,,,
UOAlive,Tinker,Tools,41,clippers,,,,,,,,,,,
UOAlive,Tinker,Tools,41,dovetail saw,,,,,,,,,,,
UOAlive,Tinker,Tools,41,draw knife,,,,,,,,,,,
UOAlive,Tinker,Tools,41,fletcher's tools,,,,,,,,,,,
UOAlive,Tinker,Tools,41,flour sifter,,,,,,,,,,,
UOAlive,Tinker,Tools,41,froe,,,,,,,,,,,
UOAlive,Tinker,Tools,41,hammer,,,,,,,,,,,
UOAlive,Tinker,Tools,41,hatchet,,,,,,,,,,,
UOAlive,Tinker,Tools,41,inshave,,,,,,,,,,,
UOAlive,Tinker,Tools,41,lockpick,,,,,,,,,,,
UOAlive,Tinker,Tools,41,mapmaker's pen,,,,,,,,,,,
UOAlive,Tinker,Tools,41,metal container engraving tool,482,,,,,,,,,,
UOAlive,Tinker,Tools,41,mortar and pestle,,,,,,,,,,,
UOAlive,Tinker,Tools,41,pickaxe,,,,,,,,,,,
UOAlive,Tinker,Tools,41,pitchfork,,,,,,,,,,,
UOAlive,Tinker,Tools,41,saw,,,,,,,,,,,
UOAlive,Tinker,Tools,41,scissors,2,,,,,,,,,,
UOAlive,Tinker,Tools,41,scorp,,,,,,,,,,,
UOAlive,Tinker,Tools,41,scribe's pen,,,,,,,,,,,
UOAlive,Tinker,Tools,41,sewing kit,122,Ingot,2,,,,,,,,
UOAlive,Tinker,Tools,41,shovel,202,,,,,,,,,,
UOAlive,Tinker,Tools,41,skillet,,,,,,,,,,,
UOAlive,Tinker,Tools,41,sledge hammer,,,,,,,,,,,
UOAlive,Tinker,Tools,41,smith's hammer,,,,,,,,,,,
UOAlive,Tinker,Tools,41,tinker's tools,62,,,,,,,,,,
